Gene_ID	Gene_names	Otholog	Molecular_function	Biological_process	Cellular_component
HUMAN|HGNC=7803|UniProtKB=Q12986	NFX1	Transcriptional repressor NF-X1;NFX1;ortholog	sequence-specific DNA binding RNA polymerase II transcription factor activity(GO:0001071);sequence-specific DNA binding RNA polymerase II transcription factor activity(GO:0003700)	nitrogen compound metabolic process(GO:0008152);biosynthetic process(GO:0006807);transcription from RNA polymerase II promoter(GO:0009058);cellular process(GO:0044238);regulation of transcription from RNA polymerase II promoter(GO:0006139)	organelle(GO:0043226);intracellular(GO:0044464)
HUMAN|HGNC=6848|UniProtKB=Q13233	MAP3K1	Mitogen-activated protein kinase kinase kinase 1;MAP3K1;ortholog	protein kinase activity(GO:0003824)	phosphate-containing compound metabolic process(GO:0008152);protein phosphorylation(GO:0006796);cell communication(GO:0044238);cell death(GO:0019538);response to stimulus(GO:0006464);regulation of biological process(GO:0006468)	intracellular(GO:0044464)
HUMAN|HGNC=8487|UniProtKB=Q13415	ORC1	Origin recognition complex subunit 1;ORC1;ortholog			
HUMAN|HGNC=8988|UniProtKB=Q13526	PIN1	Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1;PIN1;ortholog	isomerase activity(GO:0003824)	protein folding(GO:0008152);cytokinesis(GO:0044238);mitosis(GO:0019538)	
HUMAN|HGNC=1539|UniProtKB=Q13951	CBFB	Core-binding factor subunit beta;CBFB;ortholog			
HUMAN|HGNC=2666|UniProtKB=Q14118	DAG1	Dystroglycan;DAG1;ortholog	receptor activity(GO:0004872)	cell communication(GO:0009987);cell-matrix adhesion(GO:0007154)	
HUMAN|HGNC=23572|UniProtKB=Q14149	MORC3	MORC family CW-type zinc finger protein 3;MORC3;ortholog			
HUMAN|HGNC=21605|UniProtKB=Q14151	SAFB2	Scaffold attachment factor B2;SAFB2;ortholog			
HUMAN|HGNC=29877|UniProtKB=Q14157	UBAP2L	Ubiquitin-associated protein 2-like;UBAP2L;ortholog			
HUMAN|HGNC=11749|UniProtKB=Q14186	TFDP1	Transcription factor Dp-1;TFDP1;ortholog	sequence-specific DNA binding transcription factor activity(GO:0001071);sequence-specific DNA binding transcription factor activity(GO:0003700)	nitrogen compound metabolic process(GO:0008152);biosynthetic process(GO:0006807);transcription from RNA polymerase II promoter(GO:0009058);cellular process(GO:0044238);regulation of transcription from RNA polymerase II promoter(GO:0006139)	organelle(GO:0043226);intracellular(GO:0044464)
HUMAN|HGNC=23375|UniProtKB=Q14C86	GAPVD1	GTPase-activating protein and VPS9 domain-containing protein 1;GAPVD1;ortholog	catalytic activity(GO:0003824);protein binding(GO:0005488);small GTPase regulator activity(GO:0005515);guanyl-nucleotide exchange factor activity(GO:0030234)	metabolic process(GO:0008152);intracellular protein transport(GO:0051179);endocytosis(GO:0006810);regulation of catalytic activity(GO:0015031)	
HUMAN|HGNC=16469|UniProtKB=Q15057	ACAP2	Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2;ACAP2;ortholog	catalytic activity(GO:0003824);nucleic acid binding(GO:0005488);protein binding(GO:0003676);small GTPase regulator activity(GO:0005515)	metabolic process(GO:0008152);cell communication(GO:0009987);cell adhesion(GO:0007154);regulation of catalytic activity(GO:0022610)	
HUMAN|HGNC=7871|UniProtKB=Q15233	NONO	Non-POU domain-containing octamer-binding protein;NONO;ortholog	catalytic activity(GO:0003824);mRNA binding(GO:0005488)	spermatogenesis(GO:0000003);RNA splicing, via transesterification reactions(GO:0007276);transcription from RNA polymerase II promoter(GO:0007283);mRNA splicing, via spliceosome(GO:0008152);RNA splicing, via transesterification reactions(GO:0044238);regulation of transcription from RNA polymerase II promoter(GO:0006139)	
HUMAN|HGNC=16864|UniProtKB=Q15398	DLGAP5	Disks large-associated protein 5;DLGAP5;ortholog		neurological system process(GO:0032501)	
HUMAN|HGNC=7126|UniProtKB=Q15773	MLF2	Myeloid leukemia factor 2;MLF2;ortholog	receptor binding(GO:0005488)		
HUMAN|HGNC=9405|UniProtKB=Q16512	PKN1	Serine/threonine-protein kinase N1;PKN1;ortholog	protein kinase activity(GO:0003824);calcium ion binding(GO:0016740);calmodulin binding(GO:0016301);calcium-dependent phospholipid binding(GO:0004672)	protein phosphorylation(GO:0008152);cell cycle(GO:0044238);cell communication(GO:0019538)	
HUMAN|HGNC=9890|UniProtKB=Q16576	RBBP7	Histone-binding protein RBBP7;RBBP7;ortholog	receptor activity(GO:0004872)	DNA repair(GO:0008152);mRNA splicing, via spliceosome(GO:0044238);cell communication(GO:0006139);intracellular protein transport(GO:0006259);peroxisomal transport(GO:0006281);chromatin organization(GO:0016070)	
HUMAN|HGNC=20794|UniProtKB=Q2NKX8	ERCC6L	DNA excision repair protein ERCC-6-like;ERCC6L;ortholog	helicase activity(GO:0003824);binding(GO:0004386)	DNA repair(GO:0008152);transcription from RNA polymerase II promoter(GO:0044238);cellular process(GO:0006139);regulation of transcription from RNA polymerase II promoter(GO:0006259);chromatin organization(GO:0006281)	
HUMAN|HGNC=25514|UniProtKB=Q3KQU3	MAP7D1	MAP7 domain-containing protein 1;MAP7D1;ortholog		cellular process(GO:0009987);cytoskeleton organization(GO:0071840)	cytoskeleton(GO:0043226);intracellular(GO:0005856)
HUMAN|HGNC=25404|UniProtKB=Q4VC44	FLYWCH1	FLYWCH-type zinc finger-containing protein 1;FLYWCH1;ortholog			
HUMAN|HGNC=27301|UniProtKB=Q53ET0	CRTC2	CREB-regulated transcription coactivator 2;CRTC2;ortholog	sequence-specific DNA binding transcription factor activity(GO:0001071);sequence-specific DNA binding transcription factor activity(GO:0003700)	nucleobase-containing compound metabolic process(GO:0008152);regulation of nucleobase-containing compound metabolic process(GO:0044238)	
HUMAN|HGNC=15876|UniProtKB=Q96A57	TMEM230	Transmembrane protein 230;TMEM230;ortholog			
HUMAN|HGNC=9571|UniProtKB=Q92530	PSMF1	Proteasome inhibitor PI31 subunit;PSMF1;ortholog		catabolic process(GO:0008152);proteolysis(GO:0009056);cellular process(GO:0044238)	
HUMAN|HGNC=30373|UniProtKB=Q6XZF7	DNMBP	Dynamin-binding protein;DNMBP;ortholog			
HUMAN|HGNC=24566|UniProtKB=Q5T6S3	PHF19	PHD finger protein 19;PHF19;ortholog			
HUMAN|HGNC=13578|UniProtKB=Q5VUA4	ZNF318	Zinc finger protein 318;ZNF318;ortholog			
HUMAN|HGNC=25948|UniProtKB=Q7Z4H7	HAUS6	HAUS augmin-like complex subunit 6;HAUS6;ortholog			
HUMAN|HGNC=13055|UniProtKB=Q5VZL5	ZMYM4	Zinc finger MYM-type protein 4;ZMYM4;ortholog	sequence-specific DNA binding transcription factor activity(GO:0001071);kinase activity(GO:0003700);sequence-specific DNA binding transcription factor activity(GO:0003824);protein binding(GO:0016740);kinase inhibitor activity(GO:0016301);kinase regulator activity(GO:0005488)	transcription from RNA polymerase II promoter(GO:0008152);regulation of catalytic activity(GO:0044238)	
HUMAN|HGNC=20898|UniProtKB=Q6PCE3	PGM2L1	Glucose 1,6-bisphosphate synthase;PGM2L1;ortholog	kinase activity(GO:0003824)	phosphate-containing compound metabolic process(GO:0008152)	cytoplasm(GO:0044464)
HUMAN|HGNC=24797|UniProtKB=Q6ZRV2	FAM83H	Protein FAM83H;FAM83H;ortholog			
HUMAN|HGNC=22962|UniProtKB=Q71F56	MED13L	Mediator of RNA polymerase II transcription subunit 13-like;MED13L;ortholog	transcription cofactor activity(GO:0000988);sequence-specific DNA binding transcription factor activity(GO:0000989);sequence-specific DNA binding transcription factor activity(GO:0003712);protein binding(GO:0001071)	transcription from RNA polymerase II promoter(GO:0008152)	
HUMAN|HGNC=25094|UniProtKB=Q765P7	MTSS1L	MTSS1-like protein;MTSS1L;ortholog	structural constituent of cytoskeleton(GO:0005198)	cellular component movement(GO:0009987);cell cycle(GO:0006928);cell adhesion(GO:0007049);ectoderm development(GO:0022610);nervous system development(GO:0007155)	actin cytoskeleton(GO:0043226);intracellular(GO:0005856)
HUMAN|HGNC=28905|UniProtKB=Q86U90	YRDC	YrdC domain-containing protein, mitochondrial;YRDC;ortholog	transferase activity(GO:0003824);RNA binding(GO:0016740)	nitrogen compound metabolic process(GO:0008152);biosynthetic process(GO:0006807);tRNA metabolic process(GO:0009058);translation(GO:0044238);cellular process(GO:0006139);regulation of translation(GO:0016070)	intracellular(GO:0044464)
HUMAN|HGNC=8605|UniProtKB=Q86W56	PARG	Poly(ADP-ribose) glycohydrolase;PARG;ortholog	hydrolase activity, hydrolyzing N-glycosyl compounds(GO:0003824)	glycolysis(GO:0008152);glycolysis(GO:0006091)	
HUMAN|HGNC=25742|UniProtKB=Q8IWC1	MAP7D3	MAP7 domain-containing protein 3;MAP7D3;ortholog		cellular process(GO:0009987);cytoskeleton organization(GO:0071840)	cytoskeleton(GO:0043226);intracellular(GO:0005856)
HUMAN|HGNC=18318|UniProtKB=Q8IXJ9	ASXL1	Putative Polycomb group protein ASXL1;ASXL1;ortholog			
HUMAN|HGNC=28648|UniProtKB=Q8IYB7	DIS3L2	DIS3-like exonuclease 2;DIS3L2;ortholog	exoribonuclease activity(GO:0003824)	nitrogen compound metabolic process(GO:0008152);catabolic process(GO:0006807);rRNA metabolic process(GO:0009056);cellular process(GO:0044238);cellular component biogenesis(GO:0006139)	protein complex(GO:0032991);intracellular(GO:0043234)
HUMAN|HGNC=29207|UniProtKB=Q8N1G4	LRRC47	Leucine-rich repeat-containing protein 47;LRRC47;ortholog	aminoacyl-tRNA ligase activity(GO:0003824);nucleic acid binding(GO:0016874)	translation(GO:0008152)	
HUMAN|HGNC=24048|UniProtKB=Q8N6S5	ARL6IP6	ADP-ribosylation factor-like protein 6-interacting protein 6;ARL6IP6;ortholog			
HUMAN|HGNC=23842|UniProtKB=Q8N961	ABTB2	Ankyrin repeat and BTB/POZ domain-containing protein 2;ABTB2;ortholog	transcription cofactor activity(GO:0000988);sequence-specific DNA binding transcription factor activity(GO:0000989);serine-type peptidase activity(GO:0003712);structural constituent of cytoskeleton(GO:0001071);sequence-specific DNA binding transcription factor activity(GO:0003700);growth factor activity(GO:0003824);actin binding(GO:0016787)	transcription from RNA polymerase II promoter(GO:0008152);proteolysis(GO:0044238)	actin cytoskeleton(GO:0043226);intracellular(GO:0005856)
HUMAN|HGNC=26723|UniProtKB=Q8N9M1	C19orf47	Uncharacterized protein C19orf47;C19orf47;ortholog			
HUMAN|HGNC=21244|UniProtKB=Q8NC56	LEMD2	LEM domain-containing protein 2;LEMD2;ortholog			
HUMAN|HGNC=15989|UniProtKB=Q8NEY1	NAV1	Neuron navigator 1;NAV1;ortholog			
HUMAN|HGNC=28881|UniProtKB=Q8NI35	INADL	InaD-like protein;INADL;ortholog		cellular process(GO:0009987)	
HUMAN|HGNC=15512|UniProtKB=Q8TAA9	VANGL1	Vang-like protein 1;VANGL1;ortholog			
HUMAN|HGNC=11105|UniProtKB=Q8TAQ2	SMARCC2	SWI/SNF complex subunit SMARCC2;SMARCC2;ortholog	transcription cofactor activity(GO:0000988);sequence-specific DNA binding transcription factor activity(GO:0000989);sequence-specific DNA binding transcription factor activity(GO:0003712);chromatin binding(GO:0001071);protein binding(GO:0003700)	transcription from RNA polymerase II promoter(GO:0008152);regulation of transcription from RNA polymerase II promoter(GO:0044238)	
HUMAN|HGNC=11104|UniProtKB=Q92922	SMARCC1	SWI/SNF complex subunit SMARCC1;SMARCC1;ortholog	transcription cofactor activity(GO:0000988);sequence-specific DNA binding transcription factor activity(GO:0000989);sequence-specific DNA binding transcription factor activity(GO:0003712);chromatin binding(GO:0001071);protein binding(GO:0003700)	transcription from RNA polymerase II promoter(GO:0008152);regulation of transcription from RNA polymerase II promoter(GO:0044238)	
HUMAN|HGNC=12632|UniProtKB=Q93008	USP9X	Probable ubiquitin carboxyl-terminal hydrolase FAF-X;USP9X;ortholog		cellular component movement(GO:0009987);locomotion(GO:0006928);localization(GO:0040011)	intracellular(GO:0044464)
HUMAN|HGNC=15767|UniProtKB=Q96AC1	FERMT2	Fermitin family homolog 2;FERMT2;ortholog			
HUMAN|HGNC=28817|UniProtKB=Q96AG4	LRRC59	Leucine-rich repeat-containing protein 59;LRRC59;ortholog			
HUMAN|HGNC=25067|UniProtKB=Q96CB8	INTS12	Integrator complex subunit 12;INTS12;ortholog			
HUMAN|HGNC=19070|UniProtKB=Q96FV9	THOC1	THO complex subunit 1;THOC1;ortholog	nucleic acid binding(GO:0005488)	apoptotic process(GO:0006915);nucleobase-containing compound metabolic process(GO:0008152);cell communication(GO:0044238);apoptotic process(GO:0006139);nucleobase-containing compound transport(GO:0009987)	
HUMAN|HGNC=17468|UniProtKB=Q96HC4	PDLIM5	PDZ and LIM domain protein 5;PDLIM5;ortholog	sequence-specific DNA binding transcription factor activity(GO:0001071);structural constituent of cytoskeleton(GO:0003700);sequence-specific DNA binding transcription factor activity(GO:0005198);actin binding(GO:0005200)	transcription from RNA polymerase II promoter(GO:0008152);cellular component movement(GO:0044238);muscle contraction(GO:0006139);mesoderm development(GO:0016070);cellular component morphogenesis(GO:0006351);heart development(GO:0006366);muscle organ development(GO:0009987);regulation of transcription from RNA polymerase II promoter(GO:0006928);cellular component organization(GO:0032501)	actin cytoskeleton(GO:0043226);intracellular(GO:0005856)
HUMAN|HGNC=20250|UniProtKB=Q96IF1	AJUBA	LIM domain-containing protein ajuba;AJUBA;ortholog	transcription cofactor activity(GO:0000988);sequence-specific DNA binding transcription factor activity(GO:0000989);sequence-specific DNA binding transcription factor activity(GO:0003712);protein binding(GO:0001071)	transcription from RNA polymerase II promoter(GO:0008152);regulation of transcription from RNA polymerase II promoter(GO:0044238)	
HUMAN|HGNC=8614|UniProtKB=Q96IZ0	PAWR	PRKC apoptosis WT1 regulator protein;PAWR;ortholog			
HUMAN|HGNC=18267|UniProtKB=Q96PY5	FMNL2	Formin-like protein 2;FMNL2;ortholog	structural constituent of cytoskeleton(GO:0005198);actin binding(GO:0005200)	cellular component movement(GO:0009987)	actin cytoskeleton(GO:0043226);intracellular(GO:0005856)
HUMAN|HGNC=32070|UniProtKB=Q96S90	LYSMD1	LysM and putative peptidoglycan-binding domain-containing protein 1;LYSMD1;ortholog			
HUMAN|HGNC=11846|UniProtKB=Q99442	SEC62	Translocation protein SEC62;SEC62;ortholog			
HUMAN|HGNC=13192|UniProtKB=Q99543	DNAJC2	DnaJ homolog subfamily C member 2;DNAJC2;ortholog			
HUMAN|HGNC=28842|UniProtKB=Q9BQ04	RBM4B	RNA-binding protein 4B;RBM4B;ortholog			
HUMAN|HGNC=14202|UniProtKB=Q9BR39	JPH2	Junctophilin-2;JPH2;ortholog			
HUMAN|HGNC=17327|UniProtKB=Q9BTA9	WAC	WW domain-containing adapter protein with coiled-coil;WAC;ortholog			
HUMAN|HGNC=29678|UniProtKB=Q9BUK6	MSTO1	Protein misato homolog 1;MSTO1;ortholog		cellular process(GO:0009987);cellular component organization(GO:0071840)	
HUMAN|HGNC=14565|UniProtKB=Q9BX66	SORBS1	Sorbin and SH3 domain-containing protein 1;SORBS1;ortholog			
HUMAN|HGNC=16397|UniProtKB=Q9BXB4	OSBPL11	Oxysterol-binding protein-related protein 11;OSBPL11;ortholog			
HUMAN|HGNC=18420|UniProtKB=Q9BYW2	SETD2	Histone-lysine N-methyltransferase SETD2;SETD2;ortholog	methyltransferase activity(GO:0003824);DNA binding(GO:0016740)	nucleobase-containing compound metabolic process(GO:0008152);cellular process(GO:0044238);chromatin organization(GO:0006139)	
HUMAN|HGNC=15894|UniProtKB=Q9BZ23	PANK2	Pantothenate kinase 2, mitochondrial;PANK2;ortholog	kinase activity(GO:0003824)	coenzyme metabolic process(GO:0008152)	
HUMAN|HGNC=14132|UniProtKB=Q9BZ29	DOCK9	Dedicator of cytokinesis protein 9;DOCK9;ortholog	catalytic activity(GO:0003824);protein binding(GO:0005488);small GTPase regulator activity(GO:0005515);guanyl-nucleotide exchange factor activity(GO:0030234)	metabolic process(GO:0008152);cellular component movement(GO:0009987);cell communication(GO:0006928);intracellular protein transport(GO:0007154);phagocytosis(GO:0051179);regulation of catalytic activity(GO:0006810)	
HUMAN|HGNC=18191|UniProtKB=Q9C0I1	MTMR12	Myotubularin-related protein 12;MTMR12;ortholog		spermatogenesis(GO:0000003);phospholipid metabolic process(GO:0007276);phospholipid metabolic process(GO:0007283);intracellular protein transport(GO:0008152);vesicle-mediated transport(GO:0006796)	
HUMAN|HGNC=24576|UniProtKB=Q9H211	CDT1	DNA replication factor Cdt1;CDT1;ortholog			
HUMAN|HGNC=17009|UniProtKB=Q9H2D6	TRIOBP	TRIO and F-actin-binding protein;TRIOBP;ortholog	catalytic activity(GO:0003824);structural constituent of cytoskeleton(GO:0005198);protein binding(GO:0005200);small GTPase regulator activity(GO:0005488)	metabolic process(GO:0008152);cell communication(GO:0009987);cellular component morphogenesis(GO:0007154);regulation of catalytic activity(GO:0032502);cellular component organization(GO:0009653)	actin cytoskeleton(GO:0043226);intracellular(GO:0005856)
HUMAN|HGNC=3242|UniProtKB=Q9H4M9	EHD1	EH domain-containing protein 1;EHD1;ortholog	catalytic activity(GO:0003824);calcium ion binding(GO:0005488);protein binding(GO:0005509);small GTPase regulator activity(GO:0005515)	metabolic process(GO:0008152);synaptic transmission(GO:0009987);neurotransmitter secretion(GO:0007154);intracellular protein transport(GO:0007267);endocytosis(GO:0007268);regulation of catalytic activity(GO:0032501)	
HUMAN|HGNC=24018|UniProtKB=Q9H568	ACTL8	Actin-like protein 8;ACTL8;ortholog	structural constituent of cytoskeleton(GO:0005198)	cytokinesis(GO:0009987);mitosis(GO:0000910);cellular component morphogenesis(GO:0007049);intracellular protein transport(GO:0007067);exocytosis(GO:0032502);endocytosis(GO:0009653);cellular component organization(GO:0032989)	actin cytoskeleton(GO:0043226);intracellular(GO:0005856)
HUMAN|HGNC=29222|UniProtKB=Q9H582	ZNF644	Zinc finger protein 644;ZNF644;ortholog	sequence-specific DNA binding transcription factor activity(GO:0001071);sequence-specific DNA binding transcription factor activity(GO:0003700)	transcription from RNA polymerase II promoter(GO:0008152);regulation of transcription from RNA polymerase II promoter(GO:0044238)	
HUMAN|HGNC=19902|UniProtKB=Q9HB90	RRAGC	Ras-related GTP-binding protein C;RRAGC;ortholog	pyrophosphatase activity(GO:0003824)	phosphate-containing compound metabolic process(GO:0008152);nitrogen compound metabolic process(GO:0006796);catabolic process(GO:0006807);nucleobase-containing compound metabolic process(GO:0009056);cell communication(GO:0044238);response to stress(GO:0006139);response to external stimulus(GO:0009987);response to endogenous stimulus(GO:0007154);regulation of biological process(GO:0050896)	membrane(GO:0016020);protein complex(GO:0032991);endosome(GO:0043234);vacuole(GO:0043226);cytoplasm(GO:0005768)
HUMAN|HGNC=14378|UniProtKB=Q9NPE3	NOP10	H/ACA ribonucleoprotein complex subunit 3;NOP10;ortholog	structural constituent of ribosome(GO:0005198);nucleic acid binding(GO:0003735)	rRNA metabolic process(GO:0008152)	
HUMAN|HGNC=14013|UniProtKB=Q9NTJ3	SMC4	Structural maintenance of chromosomes protein 4;SMC4;ortholog	hydrolase activity(GO:0003824);nucleic acid binding(GO:0016787);chromatin binding(GO:0005488)	DNA replication(GO:0008152);DNA repair(GO:0044238);mitosis(GO:0006139);meiosis(GO:0006259);chromosome segregation(GO:0006260);chromatin organization(GO:0006281)	
HUMAN|HGNC=15866|UniProtKB=Q9NV56	MRGBP	MRG/MORF4L-binding protein;MRGBP;ortholog			
HUMAN|HGNC=25553|UniProtKB=Q9NVN8	GNL3L	Guanine nucleotide-binding protein-like 3-like protein;GNL3L;ortholog	pyrophosphatase activity(GO:0003824)	phosphate-containing compound metabolic process(GO:0008152);nitrogen compound metabolic process(GO:0006796);catabolic process(GO:0006807);nucleobase-containing compound metabolic process(GO:0009056);cellular process(GO:0044238);cellular component biogenesis(GO:0006139)	nucleus(GO:0043226);intracellular(GO:0005634)
HUMAN|HGNC=25488|UniProtKB=Q9NW97	TMEM51	Transmembrane protein 51;TMEM51;ortholog			
HUMAN|HGNC=18260|UniProtKB=Q9NX57	RAB20	Ras-related protein Rab-20;RAB20;ortholog		catabolic process(GO:0008152);cell communication(GO:0009056);response to stress(GO:0009987);response to external stimulus(GO:0007154);regulation of biological process(GO:0050896);organelle organization(GO:0006950);cellular component biogenesis(GO:0009605)	
HUMAN|HGNC=21905|UniProtKB=Q9NXC5	MIOS	WD repeat-containing protein mio;MIOS;ortholog			
HUMAN|HGNC=25981|UniProtKB=Q9NXH8	TOR4A	Torsin-4A;TOR4A;ortholog		protein folding(GO:0008152);neurological system process(GO:0044238)	
HUMAN|HGNC=19246|UniProtKB=Q9NYB0	TERF2IP	Telomeric repeat-binding factor 2-interacting protein 1;TERF2IP;ortholog			
HUMAN|HGNC=10826|UniProtKB=Q9P0V3	SH3BP4	SH3 domain-binding protein 4;SH3BP4;ortholog			
HUMAN|HGNC=11233|UniProtKB=Q9UBP0	SPAST	Spastin;SPAST;ortholog	pyrophosphatase activity(GO:0003824)	phosphate-containing compound metabolic process(GO:0008152);nitrogen compound metabolic process(GO:0006796);catabolic process(GO:0006807);nucleobase-containing compound metabolic process(GO:0009056);cellular process(GO:0044238);cytoskeleton organization(GO:0006139)	organelle(GO:0043226);intracellular(GO:0044464)
HUMAN|HGNC=21649|UniProtKB=Q9UHR4	BAIAP2L1	Brain-specific angiogenesis inhibitor 1-associated protein 2-like protein 1;BAIAP2L1;ortholog	receptor activity(GO:0004872)	cell communication(GO:0009987)	
HUMAN|HGNC=17676|UniProtKB=Q9UJ41	RABGEF1	Rab5 GDP/GTP exchange factor;RABGEF1;ortholog	catalytic activity(GO:0003824);protein binding(GO:0005488);small GTPase regulator activity(GO:0005515);guanyl-nucleotide exchange factor activity(GO:0030234)	metabolic process(GO:0008152);intracellular protein transport(GO:0051179);endocytosis(GO:0006810);regulation of catalytic activity(GO:0015031)	
HUMAN|HGNC=29066|UniProtKB=Q9UKJ3	GPATCH8	G patch domain-containing protein 8;GPATCH8;ortholog			
HUMAN|HGNC=29203|UniProtKB=Q9ULP9	TBC1D24	TBC1 domain family member 24;TBC1D24;ortholog	catalytic activity(GO:0003824);protein binding(GO:0005488);small GTPase regulator activity(GO:0005515)	metabolic process(GO:0008152);regulation of catalytic activity(GO:0065007)	
HUMAN|HGNC=20959|UniProtKB=Q9UPN6	SCAF8	Protein SCAF8;SCAF8;ortholog			
HUMAN|HGNC=29195|UniProtKB=Q9UPN7	PPP6R1	Serine/threonine-protein phosphatase 6 regulatory subunit 1;PPP6R1;ortholog	phosphatase activity(GO:0003824);phosphatase activity(GO:0016787);protein binding(GO:0016788);phosphatase regulator activity(GO:0016791)	metabolic process(GO:0008152);regulation of catalytic activity(GO:0065007)	
HUMAN|HGNC=17022|UniProtKB=Q9UPZ3	HPS5	Hermansky-Pudlak syndrome 5 protein;HPS5;ortholog			
HUMAN|HGNC=22964|UniProtKB=Q9Y2W1	THRAP3	Thyroid hormone receptor-associated protein 3;THRAP3;ortholog			
HUMAN|HGNC=1266|UniProtKB=Q9Y426	C2CD2	C2 domain-containing protein 2;C2CD2;ortholog			
HUMAN|HGNC=9378|UniProtKB=Q9Y478	PRKAB1	5'-AMP-activated protein kinase subunit beta-1;PRKAB1;ortholog	kinase activity(GO:0003824);protein binding(GO:0016740);kinase regulator activity(GO:0016301)	immune system process(GO:0002376);gluconeogenesis(GO:0008152);cholesterol metabolic process(GO:0044238);protein phosphorylation(GO:0005975);response to stress(GO:0005996);regulation of catalytic activity(GO:0006094)	
HUMAN|HGNC=11465|UniProtKB=Q9Y5B9	SUPT16H	FACT complex subunit SPT16;SUPT16H;ortholog	transcription cofactor activity(GO:0000988);sequence-specific DNA binding transcription factor activity(GO:0000989);sequence-specific DNA binding transcription factor activity(GO:0003712);protein binding(GO:0001071)	transcription from RNA polymerase II promoter(GO:0008152);cell cycle(GO:0044238);regulation of transcription from RNA polymerase II promoter(GO:0006139)	
HUMAN|HGNC=12614|UniProtKB=Q9Y5T5	USP16	Ubiquitin carboxyl-terminal hydrolase 16;USP16;ortholog			
HUMAN|HGNC=11243|UniProtKB=Q9Y657	SPIN1	Spindlin-1;SPIN1;ortholog			
HUMAN|HGNC=12733|UniProtKB=Q9Y6W5	WASF2	Wiskott-Aldrich syndrome protein family member 2;WASF2;ortholog	structural constituent of cytoskeleton(GO:0005198);actin binding(GO:0005200)	protein complex assembly(GO:0008152);protein complex biogenesis(GO:0044238)	actin cytoskeleton(GO:0043226);intracellular(GO:0005856)
HUMAN|HGNC=13309|UniProtKB=Q9NQ84	GPRC5C	G-protein coupled receptor family C group 5 member C;GPRC5C;ortholog	receptor activity(GO:0004872)	cellular process(GO:0009987)	
HUMAN|HGNC=7637|UniProtKB=P55209	NAP1L1	Nucleosome assembly protein 1-like 1;NAP1L1;ortholog	phosphatase activity(GO:0003824);phosphatase activity(GO:0016787);protein binding(GO:0016788);phosphatase inhibitor activity(GO:0016791);phosphatase regulator activity(GO:0016791)	apoptotic process(GO:0006915);DNA replication(GO:0008152);cell cycle(GO:0044238);apoptotic process(GO:0006139);regulation of catalytic activity(GO:0006259);chromatin organization(GO:0006260)	
HUMAN|HGNC=10534|UniProtKB=Q9NR31	SAR1A	GTP-binding protein SAR1a;SAR1A;ortholog	GTPase activity(GO:0003824);protein binding(GO:0016787)	metabolic process(GO:0008152);cell communication(GO:0009987);intracellular protein transport(GO:0007154);vesicle-mediated transport(GO:0051179)	
HUMAN|HGNC=3293|UniProtKB=O60573	EIF4E2	Eukaryotic translation initiation factor 4E type 2;EIF4E2;ortholog	translation initiation factor activity(GO:0005488);translation initiation factor activity(GO:0003676);translation initiation factor activity(GO:0003723)	translation(GO:0008152);regulation of translation(GO:0044238)	
HUMAN|HGNC=14525|UniProtKB=Q9UHD1	CHORDC1	Cysteine and histidine-rich domain-containing protein 1;CHORDC1;ortholog	receptor binding(GO:0005488)	gamete generation(GO:0000003);cellular process(GO:0007276);developmental process(GO:0009987)	
HUMAN|HGNC=16987|UniProtKB=Q9Y2Z0	SUGT1	Suppressor of G2 allele of SKP1 homolog;SUGT1;ortholog		protein folding(GO:0008152);response to stress(GO:0044238)	
HUMAN|HGNC=24679|UniProtKB=Q96IG2	FBXL20	F-box/LRR-repeat protein 20;FBXL20;ortholog			
HUMAN|HGNC=9154|UniProtKB=Q96T60	PNKP	Bifunctional polynucleotide phosphatase/kinase;PNKP;ortholog	nucleotide kinase activity(GO:0003824);nucleotide phosphatase activity(GO:0016740);nucleotide phosphatase activity(GO:0016301)	DNA repair(GO:0008152)	
HUMAN|HGNC=18683|UniProtKB=P38919	EIF4A3	Eukaryotic initiation factor 4A-III;EIF4A3;ortholog	RNA helicase activity(GO:0003824);translation initiation factor activity(GO:0004386);translation initiation factor activity(GO:0003724);translation initiation factor activity(GO:0005488)	nucleobase-containing compound metabolic process(GO:0008152);translation(GO:0044238);regulation of translation(GO:0006139)	
HUMAN|HGNC=3395|UniProtKB=P54760	EPHB4	Ephrin type-B receptor 4;EPHB4;ortholog		nervous system development(GO:0032502)	
HUMAN|HGNC=30073|UniProtKB=Q14181	POLA2	DNA polymerase alpha subunit B;POLA2;ortholog	protein binding(GO:0005488)	nitrogen compound metabolic process(GO:0008152);biosynthetic process(GO:0006807);DNA replication(GO:0009058);cellular process(GO:0044238)	protein-DNA complex(GO:0032991);protein complex(GO:0032993);nucleus(GO:0043234);nuclear chromosome(GO:0043226);intracellular(GO:0005634)
HUMAN|HGNC=12719|UniProtKB=Q86Y07	VRK2	Serine/threonine-protein kinase VRK2;VRK2;ortholog	protein kinase activity(GO:0003824)	phosphate-containing compound metabolic process(GO:0008152);protein phosphorylation(GO:0006796);cellular process(GO:0044238);cellular component morphogenesis(GO:0019538);regulation of biological process(GO:0006464);cellular component organization(GO:0006468)	organelle(GO:0043226);intracellular(GO:0044464)
